,Unnamed: 0,Date,Event,City,State,Country,Winner,Loser,WeightClass,Round,Method,fighter1,reach_x,stance_x,wins_x,loss_x,no_contest_x,splm_x,sig_acc_x,sig_absorbed_x,sig_strike_defense_x,average_takedown_x,takedown_acc_x,takedown_defense_x,sub_average_x,fighter2,reach_y,stance_y,wins_y,loss_y,no_contest_y,splm_y,sig_acc_y,sig_absorbed_y,sig_strike_defense_y,average_takedown_y,takedown_acc_y,takedown_defense_y,sub_average_y,reach_diff,splm_diff,sig_acc_diff,sig_absored_diff,sig_strike_defense_diff,takedown_acc_diff,average_takedown_diff,sub_average_diff,takedown_defense_diff,theWinner
0,1,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Jan Blachowicz,Israel Adesanya,Light Heavyweight,5,U-DEC,Jan Blachowicz,78.0,1,27,8,0,3.49,48.0,2.74,54.0,1.1,52.0,52.0,0.2,Israel Adesanya,80.0,3,20,0,0,4.1,50.0,2.33,65.0,0.0,0.0,0.0,0.3,-2.0,-0.6099999999999994,-2.0,0.41000000000000014,-11.0,52.0,1.1,-0.09999999999999998,52.0,fighter1
1,2,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Amanda Nunes,Megan Anderson,Women's Featherweight,1,SUB,Amanda Nunes,69.0,1,20,4,0,4.44,51.0,2.47,57.0,2.53,53.0,53.0,0.7,Megan Anderson,72.0,1,11,4,0,1.82,46.0,2.94,38.0,0.56,33.0,33.0,0.6,-3.0,2.62,5.0,-0.46999999999999975,19.0,20.0,1.9699999999999998,0.09999999999999998,20.0,fighter1
2,3,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Aljamain Sterling,Petr Yan,Bantamweight,4,DQ,Aljamain Sterling,71.0,1,19,3,0,4.82,50.0,1.94,66.0,1.89,29.0,29.0,1.0,Petr Yan,67.0,3,15,1,0,6.32,50.0,3.25,63.0,1.46,52.0,52.0,0.2,4.0,-1.5,0.0,-1.31,3.0,-23.0,0.42999999999999994,0.8,-23.0,fighter1
3,4,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Islam Makhachev,Drew Dober,Lightweight,3,SUB,Islam Makhachev,70.0,2,18,1,0,2.1,56.0,0.76,72.0,3.4,68.0,68.0,0.8,Drew Dober,70.0,2,23,9,0,4.66,40.0,4.12,55.0,0.88,17.0,17.0,0.1,0.0,-2.56,16.0,-3.3600000000000003,17.0,51.0,2.52,0.7000000000000001,51.0,fighter1
4,5,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Aleksandar Rakic,Thiago Santos,Light Heavyweight,3,U-DEC,Aleksandar Rakic,78.0,1,13,2,0,4.66,54.0,1.99,53.0,0.93,28.0,28.0,0.2,Thiago Santos,76.0,1,21,8,0,4.36,48.0,2.32,55.0,0.77,40.0,40.0,0.1,2.0,0.2999999999999998,6.0,-0.32999999999999985,-2.0,-12.0,0.16000000000000003,0.1,-12.0,fighter1
5,6,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Dominick Cruz,Casey Kenney,Bantamweight,3,S-DEC,Dominick Cruz,68.0,1,22,3,0,3.52,32.0,2.28,73.0,3.05,48.0,48.0,0.1,Casey Kenney,68.0,2,16,2,1,4.79,43.0,4.07,59.0,1.25,42.0,42.0,0.6,0.0,-1.27,-11.0,-1.7900000000000005,14.0,6.0,1.7999999999999998,-0.5,6.0,fighter1
6,7,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Kyler Phillips,Song Yadong,Bantamweight,3,U-DEC,Kyler Phillips,72.0,1,8,1,0,6.28,49.0,2.05,66.0,2.79,66.0,66.0,0.7,Song Yadong,67.0,1,16,4,1,4.32,42.0,3.57,56.0,0.73,75.0,75.0,0.5,5.0,1.96,7.0,-1.52,10.0,-9.0,2.06,0.19999999999999996,-9.0,fighter1
7,8,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Askar Askarov,Joseph Benavidez,Flyweight,3,U-DEC,Askar Askarov,67.0,1,12,0,1,3.2,52.0,2.51,55.0,2.0,18.0,18.0,0.0,Joseph Benavidez,65.0,2,28,7,0,3.54,34.0,2.62,62.0,1.48,30.0,30.0,0.6,2.0,-0.33999999999999986,18.0,-0.11000000000000032,-7.0,-12.0,0.52,-0.6,-12.0,fighter1
8,9,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Kai Kara-France,Rogerio Bontorin,Flyweight,1,KO/TKO,Kai Kara-France,69.0,1,21,9,0,5.16,39.0,4.0,66.0,0.56,23.0,23.0,0.0,Rogerio Bontorin,67.0,1,16,2,0,2.3,52.0,3.17,38.0,1.76,35.0,35.0,1.1,2.0,2.8600000000000003,-13.0,0.8300000000000001,28.0,-12.0,-1.2,-1.1,-12.0,fighter1
9,10,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Tim Elliott,Jordan Espinosa,Flyweight,3,U-DEC,Tim Elliott,66.0,2,17,11,0,3.5,45.0,2.64,59.0,4.02,48.0,48.0,1.2,Jordan Espinosa,69.0,1,15,8,0,4.99,53.0,3.23,58.0,0.92,28.0,28.0,0.2,-3.0,-1.4900000000000002,-8.0,-0.5899999999999999,1.0,20.0,3.0999999999999996,1.0,20.0,fighter1
10,11,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Kennedy Nzechukwu,Carlos Ulberg,Light Heavyweight,2,KO/TKO,Kennedy Nzechukwu,83.0,2,7,1,0,4.57,39.0,3.69,55.0,0.0,0.0,0.0,0.0,Carlos Ulberg,77.0,1,5,0,0,4.92,45.0,3.44,66.0,0.0,0.0,0.0,0.0,6.0,-0.34999999999999964,-6.0,0.25,-11.0,0.0,0.0,0.0,0.0,fighter1
11,12,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Sean Brady,Jake Matthews,Welterweight,3,SUB,Sean Brady,72.0,1,13,0,0,5.44,55.0,4.35,61.0,3.26,57.0,57.0,1.2,Jake Matthews,73.0,1,17,4,0,3.15,46.0,2.12,63.0,2.09,41.0,41.0,0.7,-1.0,2.2900000000000005,9.0,2.2299999999999995,-2.0,16.0,1.17,0.5,16.0,fighter1
12,13,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Amanda Lemos,Livinha Souza,Women's Strawweight,1,KO/TKO,Amanda Lemos,65.0,2,8,1,1,5.98,64.0,6.09,44.0,2.26,100.0,100.0,0.6,Livinha Souza,63.0,1,14,2,0,2.2,46.0,3.02,65.0,2.59,44.0,44.0,1.3,2.0,3.7800000000000002,18.0,3.07,-21.0,56.0,-0.33000000000000007,-0.7000000000000001,56.0,fighter1
13,14,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Uros Medic,Aalon Cruz,Lightweight,1,KO/TKO,Uros Medic,71.0,2,6,0,0,0.0,88.0,0.91,83.0,0.0,0.0,0.0,0.0,Aalon Cruz,78.0,3,8,3,0,8.37,39.0,6.99,64.0,0.0,0.0,0.0,0.0,-7.0,-8.37,49.0,-6.08,19.0,0.0,0.0,0.0,0.0,fighter1
14,15,2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Trevin Jones,Mario Bautista,Bantamweight,2,KO/TKO,Trevin Jones,70.0,2,12,6,0,3.72,52.0,9.45,29.0,2.15,50.0,50.0,0.0,Mario Bautista,69.0,3,8,1,0,6.19,45.0,4.96,58.0,0.6,33.0,33.0,0.0,1.0,-2.47,7.0,4.489999999999999,-29.0,17.0,1.5499999999999998,0.0,17.0,fighter1
15,16,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Ciryl Gane,Jairzinho Rozenstruik,Heavyweight,5,U-DEC,Ciryl Gane,81.0,1,8,0,0,5.04,55.0,1.85,69.0,1.13,26.0,26.0,0.5,Jairzinho Rozenstruik,78.0,1,11,2,0,3.14,48.0,3.48,39.0,0.0,0.0,0.0,0.0,3.0,1.9,7.0,-1.63,30.0,26.0,1.13,0.5,26.0,fighter1
16,17,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Magomed Ankalaev,Nikita Krylov,Light Heavyweight,3,U-DEC,Magomed Ankalaev,75.0,1,15,1,0,3.41,53.0,1.78,65.0,1.18,33.0,33.0,0.0,Nikita Krylov,77.0,1,27,8,0,4.33,56.0,2.52,43.0,1.34,33.0,33.0,1.3,-2.0,-0.9199999999999999,-3.0,-0.74,22.0,0.0,-0.16000000000000014,-1.3,0.0,fighter1
17,18,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Montana De La Rosa,Mayra Bueno Silva,Women's Flyweight,3,M-DEC,Montana De La Rosa,68.0,1,11,6,1,2.85,36.0,3.39,45.0,2.14,28.0,28.0,1.2,Mayra Bueno Silva,66.0,1,7,1,1,4.06,57.0,4.89,47.0,0.0,0.0,0.0,1.6,2.0,-1.2099999999999995,-21.0,-1.4999999999999996,-2.0,28.0,2.14,-0.40000000000000013,28.0,fighter1
18,19,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Pedro Munhoz,Jimmie Rivera,Bantamweight,3,U-DEC,Pedro Munhoz,65.0,1,19,5,0,5.6,43.0,5.87,58.0,0.68,21.0,21.0,0.8,Jimmie Rivera,68.0,1,23,5,0,4.03,40.0,3.9,60.0,0.88,27.0,27.0,0.1,-3.0,1.5699999999999994,3.0,1.9700000000000002,-2.0,-6.0,-0.19999999999999996,0.7000000000000001,-6.0,fighter1
19,20,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Alex Caceres,Kevin Croom,Featherweight,3,U-DEC,Alex Caceres,73.0,2,18,12,0,4.1,50.0,2.82,65.0,0.57,78.0,78.0,0.8,Kevin Croom,73.0,1,21,13,0,1.35,36.0,3.22,31.0,0.97,6.0,6.0,1.0,0.0,2.7499999999999996,14.0,-0.40000000000000036,34.0,72.0,-0.4,-0.19999999999999996,72.0,fighter1
20,21,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Thiago Moises,Alexander Hernandez,Lightweight,3,U-DEC,Thiago Moises,70.0,1,15,4,0,2.85,37.0,3.88,60.0,1.06,33.0,33.0,1.2,Alexander Hernandez,72.0,1,12,4,0,3.57,35.0,3.81,59.0,1.6,38.0,38.0,0.0,-2.0,-0.7199999999999998,2.0,0.06999999999999984,1.0,-5.0,-0.54,1.2,-5.0,fighter1
21,22,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Alexis Davis,Sabina Mazo,Women's Bantamweight,3,U-DEC,Alexis Davis,68.0,1,20,10,0,4.18,47.0,4.18,55.0,0.94,40.0,40.0,0.8,Sabina Mazo,70.0,1,9,2,0,6.56,44.0,3.91,60.0,0.81,80.0,80.0,0.2,-2.0,-2.38,3.0,0.2699999999999996,-5.0,-40.0,0.1299999999999999,0.6000000000000001,-40.0,fighter1
22,23,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Ronnie Lawrence,Vince Cachero,Bantamweight,3,KO/TKO,Ronnie Lawrence,68.0,3,7,1,0,3.8,58.0,1.09,61.0,-1.0,76.0,76.0,0.5,Vince Cachero,68.0,1,7,4,0,3.29,45.0,6.51,43.0,0.0,0.0,0.0,0.5,0.0,0.5099999999999998,13.0,-5.42,18.0,76.0,-1.0,0.0,76.0,fighter1
23,24,2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Dustin Jacoby,Maxim Grishin,Light Heavyweight,3,U-DEC,Dustin Jacoby,76.0,1,14,5,0,3.68,46.0,2.94,61.0,0.22,100.0,100.0,0.0,Maxim Grishin,78.0,1,31,9,2,2.95,44.0,2.33,56.0,0.38,33.0,33.0,0.0,-2.0,0.73,2.0,0.6099999999999999,5.0,67.0,-0.16,0.0,67.0,fighter1
24,25,2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Derrick Lewis,Curtis Blaydes,Heavyweight,2,KO/TKO,Derrick Lewis,79.0,1,25,7,0,2.59,50.0,2.16,44.0,0.52,26.0,26.0,0.0,Curtis Blaydes,80.0,1,14,3,0,3.59,53.0,1.7,57.0,6.64,54.0,54.0,0.0,-1.0,-1.0,-3.0,0.4600000000000002,-13.0,-28.0,-6.119999999999999,0.0,-28.0,fighter1
25,26,2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Yana Kunitskaya,Ketlen Vieira,Women's Bantamweight,3,U-DEC,Yana Kunitskaya,68.0,1,14,5,0,4.22,57.0,2.62,51.0,1.62,53.0,53.0,0.2,Ketlen Vieira,68.0,1,11,2,0,2.66,36.0,3.84,53.0,2.19,48.0,48.0,0.5,0.0,1.5599999999999996,21.0,-1.2199999999999998,-2.0,5.0,-0.5699999999999998,-0.3,5.0,fighter1
26,27,2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Darrick Minner,Charles Rosa,Featherweight,3,U-DEC,Darrick Minner,69.0,1,26,11,0,3.24,70.0,1.4,43.0,3.0,62.0,62.0,3.6,Charles Rosa,69.0,3,13,5,0,3.11,37.0,3.78,48.0,1.76,32.0,32.0,1.0,0.0,0.13000000000000034,33.0,-2.38,-5.0,30.0,1.24,2.6,30.0,fighter1
27,28,2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Chris Daukaus,Aleksei Oleinik,Heavyweight,1,KO/TKO,Chris Daukaus,76.0,1,11,3,0,0.0,61.0,3.22,65.0,0.0,0.0,0.0,0.0,Aleksei Oleinik,80.0,1,59,15,0,3.47,50.0,3.85,44.0,2.38,46.0,46.0,2.4,-4.0,-3.47,11.0,-0.6299999999999999,21.0,-46.0,-2.38,-2.4,-46.0,fighter1
28,29,2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Phil Hawes,Nassourdine Imavov,Middleweight,3,M-DEC,Phil Hawes,77.0,1,10,2,0,2.84,52.0,4.18,47.0,3.13,35.0,35.0,0.0,Nassourdine Imavov,75.0,1,9,3,0,4.17,61.0,2.03,59.0,0.5,12.0,12.0,2.0,2.0,-1.33,-9.0,2.15,-12.0,23.0,2.63,-2.0,23.0,fighter1
29,30,2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Tom Aspinall,Andrei Arlovski,Heavyweight,2,SUB,Tom Aspinall,78.0,1,10,2,0,7.43,66.0,3.06,65.0,3.54,100.0,100.0,1.8,Andrei Arlovski,77.0,1,30,20,0,3.48,44.0,2.83,57.0,0.47,36.0,36.0,0.3,1.0,3.9499999999999997,22.0,0.22999999999999998,8.0,64.0,3.0700000000000003,1.5,64.0,fighter1
30,31,2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Jared Gordon,Danny Chavez,Featherweight,3,U-DEC,Jared Gordon,68.0,1,17,4,0,5.54,56.0,3.22,60.0,2.81,39.0,39.0,0.0,Danny Chavez,67.0,1,11,4,0,2.93,39.0,4.17,53.0,2.5,100.0,100.0,0.0,1.0,2.61,17.0,-0.9499999999999997,7.0,-61.0,0.31000000000000005,0.0,-61.0,fighter1
