Date,Event,City,State,Country,fighter,WeightClass,Round,Method,result,reach,stance,wins,loss,no_contest,splm,sig_acc,sig_absorbed,sig_strike_defense,average_takedown,takedown_acc,takedown_defense,sub_average
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Israel Adesanya,Light Heavyweight,5,U-DEC,loser,80,3,20,0,0,4.1,50,2.33,65,0,0,0,0.3
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Megan Anderson,Women's Featherweight,1,SUB,loser,72,1,11,4,0,1.82,46,2.94,38,0.56,33,33,0.6
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Petr Yan,Bantamweight,4,DQ,loser,67,3,15,1,0,6.32,50,3.25,63,1.46,52,52,0.2
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Drew Dober,Lightweight,3,SUB,loser,70,2,23,9,0,4.66,40,4.12,55,0.88,17,17,0.1
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Thiago Santos,Light Heavyweight,3,U-DEC,loser,76,1,21,8,0,4.36,48,2.32,55,0.77,40,40,0.1
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Casey Kenney,Bantamweight,3,S-DEC,loser,68,2,16,2,1,4.79,43,4.07,59,1.25,42,42,0.6
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Song Yadong,Bantamweight,3,U-DEC,loser,67,1,16,4,1,4.32,42,3.57,56,0.73,75,75,0.5
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Joseph Benavidez,Flyweight,3,U-DEC,loser,65,2,28,7,0,3.54,34,2.62,62,1.48,30,30,0.6
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Rogerio Bontorin,Flyweight,1,KO/TKO,loser,67,1,16,2,0,2.3,52,3.17,38,1.76,35,35,1.1
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Jordan Espinosa,Flyweight,3,U-DEC,loser,69,1,15,8,0,4.99,53,3.23,58,0.92,28,28,0.2
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Carlos Ulberg,Light Heavyweight,2,KO/TKO,loser,77,1,5,0,0,4.92,45,3.44,66,0,0,0,0
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Jake Matthews,Welterweight,3,SUB,loser,73,1,17,4,0,3.15,46,2.12,63,2.09,41,41,0.7
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Livinha Souza,Women's Strawweight,1,KO/TKO,loser,63,1,14,2,0,2.2,46,3.02,65,2.59,44,44,1.3
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Aalon Cruz,Lightweight,1,KO/TKO,loser,78,3,8,3,0,8.37,39,6.99,64,0,0,0,0
2021-03-06,UFC 259: Blachowicz vs. Adesanya,Las Vegas,Nevada,USA,Mario Bautista,Bantamweight,2,KO/TKO,loser,69,3,8,1,0,6.19,45,4.96,58,0.6,33,33,0
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Jairzinho Rozenstruik,Heavyweight,5,U-DEC,loser,78,1,11,2,0,3.14,48,3.48,39,0,0,0,0
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Nikita Krylov,Light Heavyweight,3,U-DEC,loser,77,1,27,8,0,4.33,56,2.52,43,1.34,33,33,1.3
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Mayra Bueno Silva,Women's Flyweight,3,M-DEC,loser,66,1,7,1,1,4.06,57,4.89,47,0,0,0,1.6
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Jimmie Rivera,Bantamweight,3,U-DEC,loser,68,1,23,5,0,4.03,40,3.9,60,0.88,27,27,0.1
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Kevin Croom,Featherweight,3,U-DEC,loser,73,1,21,13,0,1.35,36,3.22,31,0.97,6,6,1
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Alexander Hernandez,Lightweight,3,U-DEC,loser,72,1,12,4,0,3.57,35,3.81,59,1.6,38,38,0
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Sabina Mazo,Women's Bantamweight,3,U-DEC,loser,70,1,9,2,0,6.56,44,3.91,60,0.81,80,80,0.2
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Vince Cachero,Bantamweight,3,KO/TKO,loser,68,1,7,4,0,3.29,45,6.51,43,0,0,0,0.5
2021-02-27,UFC Fight Night: Rozenstruik vs. Gane,Las Vegas,Nevada,USA,Maxim Grishin,Light Heavyweight,3,U-DEC,loser,78,1,31,9,2,2.95,44,2.33,56,0.38,33,33,0
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Curtis Blaydes,Heavyweight,2,KO/TKO,loser,80,1,14,3,0,3.59,53,1.7,57,6.64,54,54,0
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Ketlen Vieira,Women's Bantamweight,3,U-DEC,loser,68,1,11,2,0,2.66,36,3.84,53,2.19,48,48,0.5
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Charles Rosa,Featherweight,3,U-DEC,loser,69,3,13,5,0,3.11,37,3.78,48,1.76,32,32,1
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Aleksei Oleinik,Heavyweight,1,KO/TKO,loser,80,1,59,15,0,3.47,50,3.85,44,2.38,46,46,2.4
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Nassourdine Imavov,Middleweight,3,M-DEC,loser,75,1,9,3,0,4.17,61,2.03,59,0.5,12,12,2
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Andrei Arlovski,Heavyweight,2,SUB,loser,77,1,30,20,0,3.48,44,2.83,57,0.47,36,36,0.3
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Danny Chavez,Featherweight,3,U-DEC,loser,67,1,11,4,0,2.93,39,4.17,53,2.5,100,100,0
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Eddie Wineland,Bantamweight,1,KO/TKO,loser,69,1,24,15,0,3.4,29,3.66,69,0.34,33,33,0.1
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Nate Landwehr,Featherweight,1,KO/TKO,loser,72,1,14,4,0,7.02,50,7.67,51,0,0,0,0
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Shana Dobson,Women's Flyweight,2,KO/TKO,loser,69,1,4,5,0,3.34,37,5.2,50,0.84,50,50,0
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Drako Rodriguez,Bantamweight,1,KO/TKO,loser,69,1,7,2,0,2.57,35,2.57,26,2.75,100,100,2.8
2021-02-20,UFC Fight Night: Blaydes vs. Lewis,Las Vegas,Nevada,USA,Jared Vanderaa,Heavyweight,2,KO/TKO,loser,80,1,11,5,0,2.75,52,5.19,33,1.15,100,100,0
2021-02-13,UFC 258: Usman vs. Burns,Las Vegas,Nevada,USA,Gilbert Burns,Welterweight,3,KO/TKO,loser,71,1,19,4,0,3.22,45,3.04,54,2.08,35,35,0.7
